lane_class,root,row_id,raw_symbol,completed_trading_date,timestamp,exclusion_reason,zero_silent_row_skip_status
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T21:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-15,2022-02-15T22:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T00:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T01:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T02:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T03:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T04:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T05:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T06:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T07:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T08:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T09:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T10:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
SOURCE_NATIVE_FUTURES,ZF,APPENDIX_C_172_003,ZFH2,2022-02-16,2022-02-16T11:00:00Z,INACTIVE_DATED_CONTRACT_ROW_EXCLUDED_BY_LOCKED_LOCAL_ROLL_CHAIN,EXPLICITLY_LEDGERED_NOT_SILENTLY_DROPPED
