ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol,dataset
2026-05-20 00:00:00+00:00,35,103,24,105.57,105.785,105.57,105.785,55005,24,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,1353,607.9,623.5,606.4,620.9,85137,1353,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,1353,612.5,620.0,612.5,620.0,2724,1353,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,15,105.915,106.14,105.915,106.09,20280,15,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,18,123.97,125.12,123.86,124.96,1397864,18,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,21,114.76,115.43,114.71,115.3,1066443,21,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,24,105.595,105.845,105.585,105.77,877283,24,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,690,24344.0,24946.0,24210.0,24806.0,34553,690,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,1228,391.4,399.4,391.4,397.1,301,1228,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,803,5830.0,6019.0,5802.0,5993.0,635563,803,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,33,118.11,119.45,118.01,119.22,308436,33,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,22634,22.95,23.1,22.6,23.1,581,22634,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,15,105.875,106.2,105.875,106.105,288308,15,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,27,105.8,107.56,105.54,107.42,183371,27,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,18,124.09,124.93,123.9,124.85,81301,18,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,21,114.85,115.31,114.81,115.25,98099,21,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,803,5850.0,6000.0,5847.0,5967.0,51180,803,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,33,118.28,119.16,118.28,119.15,53639,33,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,101,12,116.3,117.72,116.3,117.38,443550,12,XEUR.EOBI
2026-05-20 00:00:00+00:00,35,103,12,116.42,117.47,116.42,116.7,26489,12,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,15,106.08,106.165,105.96,106.065,249996,15,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,24,105.795,105.8,105.685,105.7,70792,24,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,1228,397.9,397.9,397.9,397.9,105,1228,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,803,5976.0,6047.0,5925.0,6023.0,613521,803,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,1353,618.0,620.9,618.0,620.3,2500,1353,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,27,107.28,107.96,107.0,107.82,182355,27,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,24,105.75,105.845,105.67,105.81,883480,24,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,33,119.14,119.66,118.66,119.45,392344,33,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,6,121.19,121.22,120.85,121.22,62,6,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,18,124.83,125.33,124.6,125.18,1370381,18,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,21,115.24,115.51,115.05,115.43,1227715,21,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,21,115.22,115.34,115.06,115.15,83666,21,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,690,24790.0,24964.0,24571.0,24900.0,37017,690,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,33,118.9,119.26,118.73,119.12,25416,33,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,12,117.28,117.57,116.84,117.35,361896,12,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,27,107.3,107.54,107.06,107.26,11215,27,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,15,106.11,106.13,105.97,105.97,17611,15,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,18,124.97,125.07,124.63,124.79,58273,18,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,1228,396.5,399.3,395.6,397.2,431,1228,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,803,5970.0,6010.0,5940.0,5963.0,68246,803,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,103,12,117.34,117.43,116.97,117.23,15471,12,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,1353,620.2,627.1,616.2,624.7,81579,1353,XEUR.EOBI
2026-05-21 00:00:00+00:00,35,101,22634,22.1,22.55,21.3,21.3,7559,22634,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,15,106.105,106.18,106.1,106.14,17883,15,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,803,6033.0,6042.0,5992.0,5998.0,479323,803,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,12,117.58,118.05,117.51,117.74,276193,12,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,1353,625.4,625.4,623.8,624.9,2105,1353,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,15,106.115,106.215,106.075,106.13,192551,15,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,6,121.6,121.75,121.57,121.57,6,6,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,27,107.76,108.6,107.64,108.44,124746,27,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,18,124.69,125.53,124.69,125.36,92221,18,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,24,105.715,105.84,105.715,105.78,91501,24,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,1228,399.3,399.7,397.8,399.5,737,1228,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,33,119.35,119.69,119.32,119.66,26945,33,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,12,117.53,117.93,117.53,117.88,15617,12,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,1353,625.9,627.5,622.3,623.9,61817,1353,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,27,107.92,108.7,107.86,108.46,11340,27,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,18,125.13,125.57,125.06,125.4,1029565,18,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,21,115.4,115.61,115.32,115.44,771811,21,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,21,115.39,115.55,115.32,115.44,63041,21,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,690,24935.0,24999.0,24708.0,24858.0,27836,690,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,24,105.805,105.87,105.75,105.785,682216,24,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,103,803,6010.0,6040.0,5995.0,6023.0,81768,803,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,33,119.43,119.81,119.29,119.56,229322,33,XEUR.EOBI
2026-05-22 00:00:00+00:00,35,101,22634,21.55,21.75,21.2,21.6,7802,22634,XEUR.EOBI
