lane_class,strategy_context,provider,dataset,schema,stype_in,row_id,author_market_code,instrument_id,raw_symbol,provider_ts_event_start_utc,derived_completed_bar_end_utc,completed_trading_date,open,high,low,close,volume,provider_condition_status,row_shape_status,source_raw_sha256,strategy_use_status
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T04:00:00Z,2026-05-21T05:00:00Z,2026-05-21,109.28125,109.296875,109.265625,109.296875,7479.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T05:00:00Z,2026-05-21T06:00:00Z,2026-05-21,109.296875,109.296875,109.1875,109.21875,20492.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T06:00:00Z,2026-05-21T07:00:00Z,2026-05-21,109.203125,109.25,109.15625,109.15625,50817.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T07:00:00Z,2026-05-21T08:00:00Z,2026-05-21,109.171875,109.25,109.15625,109.234375,54040.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T08:00:00Z,2026-05-21T09:00:00Z,2026-05-21,109.234375,109.375,109.234375,109.328125,79080.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T09:00:00Z,2026-05-21T10:00:00Z,2026-05-21,109.3125,109.390625,109.296875,109.34375,48583.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T10:00:00Z,2026-05-21T11:00:00Z,2026-05-21,109.34375,109.359375,108.96875,109.03125,176912.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T11:00:00Z,2026-05-21T12:00:00Z,2026-05-21,109.03125,109.1875,109.03125,109.09375,85685.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T12:00:00Z,2026-05-21T13:00:00Z,2026-05-21,109.109375,109.140625,108.96875,109.078125,193078.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
SOURCE_NATIVE_FUTURES,S26_FAST_MEAN_REVERSION_ZN_WORKED_EXAMPLE,DATABENTO_HISTORICAL,GLBX.MDP3,ohlcv-1h,instrument_id,APPENDIX_C_172_004,ZN,42000661,ZNM6,2026-05-21T13:00:00Z,2026-05-21T14:00:00Z,2026-05-21,109.0625,109.15625,108.890625,109.09375,271979.0,PROVIDER_CONDITION_AVAILABLE,PASS_OHLCV_1H_ROW_SHAPE,8DB6AE38A798A3E76772C52863D415980A34BD27678ADA8F8145581AEB516537,QUARANTINE_ONLY_NOT_FORECAST_READY
