root,entry_bar_end_utc,exit_bar_end_utc,entry_completed_trading_date,exit_completed_trading_date,entry_raw_symbol,exit_raw_symbol,held_contracts_unit_plumbing,position_change_from_previous_pnl_row,entry_continuous_close,exit_continuous_close,price_change_points,contract_multiplier,gross_pnl_usd,etf_fee_per_side_usd,estimated_etf_fee_usd,net_after_etf_fees_usd,cumulative_gross_pnl_usd,cumulative_estimated_etf_fees_usd,cumulative_net_after_etf_fees_usd,cost_status,lookahead_status,backtest_row_status
ZT,2023-08-17T19:00:00Z,2023-08-17T20:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,-1,102.21875,102.2578125,0.0390625,2000.0,-78.125,1.36,1.36,-79.485,4976.5625,776.5600000000064,4200.002500000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T20:00:00Z,2023-08-17T21:00:00Z,2023-08-17,2023-08-17,ZTZ3,ZTZ3,-1,0,102.2578125,102.265625,0.0078125,2000.0,-15.625,1.36,0.0,-15.625,4960.9375,776.5600000000064,4184.377500000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T21:00:00Z,2023-08-17T23:00:00Z,2023-08-17,2023-08-18,ZTZ3,ZTZ3,-1,0,102.265625,102.28515625,0.01953125,2000.0,-39.0625,1.36,0.0,-39.0625,4921.875,776.5600000000064,4145.315000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-17T23:00:00Z,2023-08-18T00:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,-1,0,102.28515625,102.28515625,0.0,2000.0,-0.0,1.36,0.0,-0.0,4921.875,776.5600000000064,4145.315000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T00:00:00Z,2023-08-18T01:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,-1,0,102.28515625,102.2890625,0.00390625,2000.0,-7.8125,1.36,0.0,-7.8125,4914.0625,776.5600000000064,4137.502500000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T01:00:00Z,2023-08-18T02:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,-1,0,102.2890625,102.29296875,0.00390625,2000.0,-7.8125,1.36,0.0,-7.8125,4906.25,776.5600000000064,4129.690000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T02:00:00Z,2023-08-18T03:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,0,1,102.29296875,102.2890625,-0.00390625,2000.0,-0.0,1.36,1.36,-1.36,4906.25,777.9200000000064,4128.330000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T03:00:00Z,2023-08-18T04:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,0,0,102.2890625,102.296875,0.0078125,2000.0,0.0,1.36,0.0,0.0,4906.25,777.9200000000064,4128.330000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T04:00:00Z,2023-08-18T05:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,0,0,102.296875,102.28125,-0.015625,2000.0,-0.0,1.36,0.0,-0.0,4906.25,777.9200000000064,4128.330000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
ZT,2023-08-18T05:00:00Z,2023-08-18T06:00:00Z,2023-08-18,2023-08-18,ZTZ3,ZTZ3,0,0,102.28125,102.30078125,0.01953125,2000.0,0.0,1.36,0.0,0.0,4906.25,777.9200000000064,4128.330000000029,ETF_PUBLIC_PER_SIDE_COMMISSION_ONLY_NO_SPREAD_OR_SLIPPAGE,PASS_POSITION_FROM_PRIOR_COMPLETED_HOURLY_BAR_ONLY,DEV_RECON_UNIT_PLUMBING_ETF_COST_NOT_ALPHA_NOT_PROMOTION
