provider,dataset,schema,stype_in,provider_symbol,instrument_id,timestamp_utc,completed_trading_date,open,high,low,close,volume,quarantine_status
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,HEM6,42005488,2026-05-21T00:00:00Z,2026-05-21,97.1,97.2,94.775,95.25,9113,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,M2KM6,42002073,2026-05-21T00:00:00Z,2026-05-21,2810.7,2858.8,2792.9,2853.6,153789,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MNQM6,42004936,2026-05-21T00:00:00Z,2026-05-21,29190.5,29579.25,29127.25,29550.5,2499873,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZWN6,4121243,2026-05-21T00:00:00Z,2026-05-21,660.75,660.75,645.25,647.75,44994,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZCN6,495552,2026-05-21T00:00:00Z,2026-05-21,465.0,469.25,460.0,462.75,163177,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZNM6,42000661,2026-05-21T00:00:00Z,2026-05-21,109.265625,109.484375,108.890625,109.3125,2577404,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZFM6,42156042,2026-05-21T00:00:00Z,2026-05-21,106.875,106.9921875,106.6328125,106.8828125,1949988,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,LEM6,42290645,2026-05-21T00:00:00Z,2026-05-21,253.375,253.475,248.8,249.95,10241,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MESM6,42005163,2026-05-21T00:00:00Z,2026-05-21,7420.5,7486.75,7407.75,7479.5,1596431,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,MYMM6,42002662,2026-05-21T00:00:00Z,2026-05-21,49983.0,50475.0,49773.0,50454.0,192534,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,QMN6,3159,2026-05-21T00:00:00Z,2026-05-21,98.8,102.625,95.775,97.725,9990,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZMN6,748931,2026-05-21T00:00:00Z,2026-05-21,330.9,331.2,327.2,327.3,40940,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZSN6,194904,2026-05-21T00:00:00Z,2026-05-21,1199.0,1204.0,1191.0,1193.5,67164,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZTM6,42370722,2026-05-21T00:00:00Z,2026-05-21,103.234375,103.265625,103.125,103.203125,1343781,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,RBN6,781272,2026-05-21T00:00:00Z,2026-05-21,3.3904,3.458,3.2573,3.3448,34677,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,ZTM6,42370722,2026-05-22T00:00:00Z,2026-05-22,103.19921875,103.26171875,103.09375,103.1640625,1071206,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
DATABENTO,GLBX.MDP3,ohlcv-1d,raw_symbol,LEM6,42290645,2026-05-22T00:00:00Z,2026-05-22,249.425,250.575,247.475,249.35,6525,QUARANTINE_ONLY_NOT_DIAGNOSTIC_NOT_BACKTEST
